"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
5,4,"Buck Henry","Tom Petty and the Heartbreakers",1979-11-10
5,5,"Bea Arthur","The Roches",1979-11-17
5,6,"Howard Hesseman","Randy Newman",1979-12-08
5,7,"Martin Sheen","David Bowie",1979-12-15
5,8,"Ted Knight","Desmond Child & Rouge",1979-12-22
5,9,"Teri Garr","The B-52's",1980-01-26
5,10,"Chevy Chase","Marianne FaithfullTom Scott",1980-02-09
5,11,"Elliott Gould","Gary Numan",1980-02-16
5,12,"Kirk Douglas","Sam & Dave",1980-02-23
5,13,"Rodney Dangerfield","The J. Geils Band",1980-03-08
5,14,"none","Paul SimonJames TaylorDavid Sanborn",1980-03-15
5,15,"Richard BenjaminPaula Prentiss","The Grateful Dead",1980-04-05
5,16,"Burt Reynolds","Anne Murray",1980-04-12
5,17,"Strother Martin","The Specials",1980-04-19
5,18,"Bob Newhart","The Amazing Rhythm AcesBruce Cockburn",1980-05-10
5,19,"Steve Martin","3-D, Paul McCartney and Linda McCartney",1980-05-17
5,20,"Buck Henry","Andrew GoldAndrae Crouch & the Voices of Unity",1980-05-24
6,1,"Elliott Gould","Kid Creole & the Coconuts",1980-11-15
6,2,"Malcolm McDowell","Captain Beefheart & His Magic Band",1980-11-22
6,3,"Ellen Burstyn","Aretha Franklin
Keith Sykes",1980-12-06
6,4,"Jamie Lee Curtis","James BrownEllen Shipley",1980-12-13
6,5,"David Carradine","Linda Ronstadt
The Cast of The Pirates of Penzance",1980-12-20
6,6,"Ray Sharkey","Jack Bruce & Friends",1981-01-10
6,7,"Karen Black","Cheap TrickStanley Clarke Trio",1981-01-17
6,8,"Robert Hays","Joe ""King"" Carrasco & the Crowns
14 Karat Soul",1981-01-24
6,9,"Sally Kellerman","Jimmy Cliff",1981-02-07
6,10,"Deborah Harry","Deborah HarryFunky Four Plus One",1981-02-14
6,11,"Charlene Tilton","Todd RundgrenPrince",1981-02-21
6,12,"Bill Murray","Delbert McClinton",1981-03-07
6,13,"none","Jr. Walker & the All-Stars",1981-04-11
7,1,"(none)","Rod Stewart",1981-10-03
7,2,"Susan Saint James","The Kinks",1981-10-10
7,3,"George Kennedy","Miles Davis",1981-10-17
7,4,"Donald Pleasence","Fear",1981-10-31
7,5,"Lauren Hutton","Rick James",1981-11-07
7,6,"Bernadette Peters","The Go-Go'sBilly Joel",1981-11-14
7,7,"Tim Curry","Meat Loaf",1981-12-05
7,8,"Bill Murray","The SpinnersThe Whiffenpoofs",1981-12-12
7,9,"Robert Conrad","The Allman Brothers Band",1982-01-23
7,10,"John Madden","Jennifer Holliday",1982-01-30
7,11,"James Coburn","Lindsey Buckingham",1982-02-06
7,12,"Bruce Dern","Luther Vandross",1982-02-20
7,13,"Elizabeth Ashley","Hall & Oates",1982-02-27
7,14,"Robert Urich","Mink DeVille",1982-03-20
7,15,"Blythe Danner","Rickie Lee Jones",1982-03-27
7,16,"Daniel J. Travanti","John Cougar Mellencamp",1982-04-10
