"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
24,17,"John Goodman","Tom Petty & the Heartbreakers",1999-04-10
24,18,"Cuba Gooding Jr.","Ricky Martin",1999-05-08
24,19,"Sarah Michelle Gellar","Backstreet Boys",1999-05-15
25,1,"Jerry Seinfeld","David Bowie",1999-10-02
25,2,"Heather Graham","Marc Anthony",1999-10-16
25,3,"Norm Macdonald","Dr. Dre featuringSnoop Dogg & Eminem",1999-10-23
25,4,"Dylan McDermott","Foo Fighters",1999-11-06
25,5,"Garth Brooks","Garth Brooks as Chris Gaines",1999-11-13
25,6,"Jennifer Aniston","Sting",1999-11-20
25,7,"Christina Ricci","Beck",1999-12-04
25,8,"Danny DeVito","R.E.M.",1999-12-11
25,9,"Jamie Foxx","Blink-182",2000-01-08
25,10,"Freddie Prinze, Jr.","Macy Gray",2000-01-15
25,11,"Alan Cumming","Jennifer Lopez",2000-02-05
25,12,"Julianna Margulies","DMX",2000-02-12
25,13,"Ben Affleck","Fiona Apple",2000-02-19
25,14,"Joshua Jackson","'N Sync",2000-03-11
25,15,"The Rock (Dwayne Johnson)","AC/DC",2000-03-18
25,16,"Christopher Walken","Christina Aguilera",2000-04-08
25,17,"Tobey Maguire","Sisqó",2000-04-15
25,18,"John Goodman","Neil Young",2000-05-06
25,19,"Britney Spears","Britney Spears",2000-05-13
25,20,"Jackie Chan","Kid Rock",2000-05-20
26,1,"Rob Lowe","Eminem",2000-10-07
26,2,"Kate Hudson","Radiohead",2000-10-14
26,3,"Dana Carvey","The Wallflowers",2000-10-21
26,4,"Charlize Theron","Paul Simon",2000-11-04
26,5,"Calista Flockhart","Ricky Martin",2000-11-11
26,6,"Tom Green","David Gray",2000-11-18
26,7,"Val Kilmer","U2",2000-12-09
26,8,"Lucy Liu","Jay-Z",2000-12-16
26,9,"Charlie Sheen","Nelly Furtado",2001-01-13
26,10,"Mena Suvari","Lenny Kravitz",2001-01-20
26,11,"Jennifer Lopez","Jennifer Lopez",2001-02-10
26,12,"Sean Hayes","Shaggy",2001-02-17
26,13,"Katie Holmes","Dave Matthews Band",2001-02-24
26,14,"Conan O'Brien","Don Henley",2001-03-10
26,15,"Julia Stiles","Aerosmith",2001-03-17
26,16,"Alec Baldwin","Coldplay",2001-04-07
26,17,"Renée Zellweger","Eve",2001-04-14
26,18,"Pierce Brosnan","Destiny's Child",2001-05-05
26,19,"Lara Flynn Boyle","Bon Jovi",2001-05-12
26,20,"Christopher Walken","Weezer",2001-05-19
27,1,"Reese Witherspoon","Alicia Keys",2001-09-29
27,2,"Seann William Scott","Sum 41",2001-10-06
27,3,"Drew Barrymore","Macy Gray",2001-10-13
27,4,"John Goodman","Ja Rule",2001-11-03
27,5,"Gwyneth Paltrow","Ryan Adams",2001-11-10
27,6,"Billy Bob Thornton","Creed",2001-11-17
27,7,"Derek Jeter","ShakiraBubba Sparxxx",2001-12-01
27,8,"Hugh Jackman","Mick Jagger",2001-12-08
27,9,"Ellen DeGeneres","No Doubt",2001-12-15
27,10,"Josh Hartnett","Pink",2002-01-12
27,11,"Jack Black","The Strokes",2002-01-19
27,12,"Britney Spears","Britney Spears",2002-02-02
27,13,"Jonny Moseley","Outkast",2002-03-02
27,14,"Jon Stewart","India.Arie",2002-03-09
27,15,"Ian McKellen","Kylie Minogue",2002-03-16
27,16,"Cameron Diaz","Jimmy Eat World",2002-04-06
27,17,"Dwayne Johnson","Andrew W.K.",2002-04-13
27,18,"Alec Baldwin","P.O.D.",2002-04-20
27,19,"Kirsten Dunst","Eminem",2002-05-11
27,20,"Winona Ryder","Moby",2002-05-18
28,1,"Matt Damon","Bruce Springsteen & the E Street Band",2002-10-05
28,2,"Sarah Michelle Gellar","Faith Hill",2002-10-12
28,3,"John McCain","The White Stripes",2002-10-19
28,4,"Eric McCormack","Jay-Z",2002-11-02
28,5,"Nia Vardalos","Eve",2002-11-09
28,6,"Brittany Murphy","Nelly",2002-11-16
28,7,"Robert De Niro","Norah Jones",2002-12-07
28,8,"Al Gore","Phish",2002-12-14
28,9,"Jeff Gordon","Avril Lavigne",2003-01-11
28,10,"Ray Liotta","The Donnas",2003-01-18
28,11,"Matthew McConaughey","Dixie Chicks",2003-02-08
28,12,"Jennifer Garner","Beck",2003-02-15
28,13,"Christopher Walken","Foo Fighters",2003-02-22
28,14,"Queen Latifah","Ms. Dynamite",2003-03-08
28,15,"Salma Hayek","Christina Aguilera",2003-03-15
28,16,"Bernie Mac","Good Charlotte",2003-04-05
28,17,"Ray Romano","Zwan",2003-04-12
28,18,"Ashton Kutcher","50 Cent",2003-05-03
28,19,"Adrien Brody","Sean PaulWayne Wonder",2003-05-10
28,20,"Dan Aykroyd","Beyoncé",2003-05-17
29,1,"Jack Black","John Mayer",2003-10-04
29,2,"Justin Timberlake","Justin Timberlake",2003-10-11
29,3,"Halle Berry","Britney Spears",2003-10-18
29,4,"Kelly Ripa","Outkast",2003-11-01
29,5,"Andy Roddick","Dave Matthews & Friends",2003-11-08
29,6,"Alec Baldwin","Missy Elliott",2003-11-15
29,7,"Al Sharpton","Pink",2003-12-06
29,8,"Elijah Wood","Jet",2003-12-13
29,9,"Jennifer Aniston","The Black Eyed Peas",2004-01-10
29,10,"Jessica Simpson & Nick Lachey","G-Unit",2004-01-17
29,11,"Megan Mullally","Clay Aiken",2004-02-07
29,12,"Drew Barrymore","Kelis",2004-02-14
29,13,"Christina Aguilera","Maroon 5",2004-02-21
29,14,"Colin Firth","Norah Jones",2004-03-06
29,15,"Ben Affleck","N*E*R*D",2004-03-13
29,16,"Donald Trump","Toots & the Maytals featuring Ben Harper, Jack Johnson, Bootsy Collins, and The Roots",2004-04-03
29,17,"Janet Jackson","Janet Jackson",2004-04-10
29,18,"Lindsay Lohan","Usher",2004-05-01
29,19,"Snoop Dogg","Avril Lavigne",2004-05-08
29,20,"Mary-Kate and Ashley Olsen","J-Kwon",2004-05-15
30,1,"Ben Affleck","Nelly",2004-10-02
30,2,"Queen Latifah","Queen Latifah",2004-10-09
30,3,"Jude Law","Ashlee Simpson",2004-10-23
30,4,"Kate Winslet","Eminem",2004-10-30
30,5,"Liam Neeson","Modest Mouse",2004-11-13
30,6,"Luke Wilson","U2",2004-11-20
30,7,"Colin Farrell","Scissor Sisters",2004-12-11
30,8,"Robert De Niro","Destiny's Child",2004-12-18
30,9,"Topher Grace","The Killers",2005-01-15
30,10,"Paul Giamatti","Ludacris featuring Sum 41",2005-01-22
30,11,"Paris Hilton","Keane",2005-02-05
30,12,"Jason Bateman","Kelly Clarkson",2005-02-12
30,13,"Hilary Swank","50 Cent",2005-02-19
30,14,"David Spade","Jack Johnson",2005-03-12
30,15,"Ashton Kutcher","Gwen Stefani",2005-03-19
30,16,"Cameron Diaz","Green Day",2005-04-09
30,17,"Tom Brady","Beck",2005-04-16
30,18,"Johnny Knoxville","System of a Down",2005-05-07
30,19,"Will Ferrell","Queens of the Stone Age",2005-05-14
30,20,"Lindsay Lohan","Coldplay",2005-05-21
31,1,"Steve Carell","Kanye West",2005-10-01
31,2,"Jon Heder","Ashlee Simpson",2005-10-08
31,3,"Catherine Zeta-Jones","Franz Ferdinand",2005-10-22
31,4,"Lance Armstrong","Sheryl Crow",2005-10-29
31,5,"Jason Lee","Foo Fighters",2005-11-12
31,6,"Eva Longoria","Korn",2005-11-19
31,7,"Dane Cook","James Blunt",2005-12-03
31,8,"Alec Baldwin","Shakira",2005-12-10
31,9,"Jack Black","Neil Young",2005-12-17
31,10,"Scarlett Johansson","Death Cab for Cutie",2006-01-14
31,11,"Peter Sarsgaard","The Strokes",2006-01-21
31,12,"Steve Martin","Prince",2006-02-04
31,13,"Natalie Portman","Fall Out Boy",2006-03-04
31,14,"Matt Dillon","Arctic Monkeys",2006-03-11
31,15,"Antonio Banderas","Mary J. Blige",2006-04-08
31,16,"Lindsay Lohan","Pearl Jam",2006-04-15
31,17,"Tom Hanks","Red Hot Chili Peppers",2006-05-06
31,18,"Julia Louis-Dreyfus","Paul Simon",2006-05-13
31,19,"Kevin Spacey","Nelly Furtado",2006-05-20
32,1,"Dane Cook","The Killers",2006-09-30
32,2,"Jaime Pressly","Corinne Bailey Rae",2006-10-07
32,3,"John C. Reilly","My Chemical Romance",2006-10-21
32,4,"Hugh Laurie","Beck",2006-10-28
32,5,"Alec Baldwin","Christina Aguilera",2006-11-11
32,6,"Ludacris","Ludacris",2006-11-18
32,7,"Matthew Fox","Tenacious D",2006-12-02
32,8,"Annette Bening","Gwen Stefani and Akon",2006-12-09
32,9,"Justin Timberlake","Justin Timberlake",2006-12-16
32,10,"Jake Gyllenhaal","The Shins",2007-01-13
32,11,"Jeremy Piven","AFI",2007-01-20
32,12,"Drew Barrymore","Lily Allen",2007-02-03
32,13,"Forest Whitaker","Keith Urban",2007-02-10
32,14,"Rainn Wilson","Arcade Fire",2007-02-24
32,15,"Julia Louis-Dreyfus","Snow Patrol",2007-03-17
32,16,"Peyton Manning","Carrie Underwood",2007-03-24
32,17,"Shia LaBeouf","Avril Lavigne",2007-04-14
32,18,"Scarlett Johansson","Björk",2007-04-21
32,19,"Molly Shannon","Linkin Park",2007-05-12
32,20,"Zach Braff","Maroon 5",2007-05-19
33,1,"LeBron James","Kanye West",2007-09-29
33,2,"Seth Rogen","Spoon",2007-10-06
33,3,"Jon Bon Jovi","Foo Fighters",2007-10-13
33,4,"Brian Williams","Feist",2007-11-03
33,5,"Tina Fey","Carrie Underwood",2008-02-23
33,6,"Ellen Page","Wilco",2008-03-01
33,7,"Amy Adams","Vampire Weekend",2008-03-08
33,8,"Jonah Hill","Mariah Carey",2008-03-15
33,9,"Christopher Walken","Panic! at the Disco",2008-04-05
33,10,"Ashton Kutcher","Gnarls Barkley",2008-04-12
33,11,"Shia LaBeouf","My Morning Jacket",2008-05-10
33,12,"Steve Carell","Usher",2008-05-17
34,1,"Michael Phelps","Lil Wayne",2008-09-13
34,2,"James Franco","Kings of Leon",2008-09-20
34,3,"Anna Faris","Duffy",2008-09-27
34,4,"Anne Hathaway","The Killers",2008-10-04
34,5,"Josh Brolin","Adele",2008-10-18
34,6,"Jon Hamm","Coldplay",2008-10-25
34,7,"Ben Affleck","David Cook",2008-11-01
34,8,"Paul Rudd","Beyoncé",2008-11-15
34,9,"Tim McGraw","Ludacris & T-Pain",2008-11-22
34,10,"John Malkovich","T.I.",2008-12-06
34,11,"Hugh Laurie","Kanye West",2008-12-13
34,12,"Neil Patrick Harris","Taylor Swift",2009-01-10
34,13,"Rosario Dawson","Fleet Foxes",2009-01-17
34,14,"Steve Martin","Jason Mraz",2009-01-31
34,15,"Bradley Cooper","TV on the Radio",2009-02-07
34,16,"Alec Baldwin","Jonas Brothers",2009-02-14
34,17,"Dwayne Johnson","Ray LaMontagne",2009-03-07
34,18,"Tracy Morgan","Kelly Clarkson",2009-03-14
34,19,"Seth Rogen","Phoenix",2009-04-04
34,20,"Zac Efron","Yeah Yeah Yeahs",2009-04-11
34,21,"Justin Timberlake","Ciara",2009-05-09
34,22,"Will Ferrell","Green Day",2009-05-16
35,1,"Megan Fox","U2",2009-09-26
35,2,"Ryan Reynolds","Lady Gaga",2009-10-03
35,3,"Drew Barrymore","Regina Spektor",2009-10-10
35,4,"Gerard Butler","Shakira",2009-10-17
35,5,"Taylor Swift","Taylor Swift",2009-11-07
35,6,"January Jones","The Black Eyed Peas",2009-11-14
35,7,"Joseph Gordon-Levitt","Dave Matthews Band",2009-11-21
35,8,"Blake Lively","Rihanna",2009-12-05
35,9,"Taylor Lautner","Bon Jovi",2009-12-12
35,10,"James Franco","Muse",2009-12-19
35,11,"Charles Barkley","Alicia Keys",2010-01-09
35,12,"Sigourney Weaver","The Ting Tings",2010-01-16
35,13,"Jon Hamm","Michael Bublé",2010-01-30
35,14,"Ashton Kutcher","Them Crooked Vultures",2010-02-06
35,15,"Jennifer Lopez","Jennifer Lopez",2010-02-27
35,16,"Zach Galifianakis","Vampire Weekend",2010-03-06
35,17,"Jude Law","Pearl Jam",2010-03-13
35,18,"Tina Fey","Justin Bieber",2010-04-10
35,19,"Ryan Phillippe","Ke$ha",2010-04-17
35,20,"Gabourey Sidibe","MGMT",2010-04-24
35,21,"Betty White","Jay-Z",2010-05-08
35,22,"Alec Baldwin","Tom Petty and the Heartbreakers",2010-05-15
36,1,"Amy Poehler","Katy Perry",2010-09-25
36,2,"Bryan Cranston","Kanye West",2010-10-02
36,3,"Jane Lynch","Bruno Mars",2010-10-09
36,4,"Emma Stone","Kings of Leon",2010-10-23
36,5,"Jon Hamm","Rihanna",2010-10-30
36,6,"Scarlett Johansson","Arcade Fire",2010-11-13
36,7,"Anne Hathaway","Florence + the Machine",2010-11-20
36,8,"Robert De Niro","Diddy-Dirty Money",2010-12-04
36,9,"Paul Rudd","Paul McCartney",2010-12-11
36,10,"Jeff Bridges","Eminem and Lil Wayne",2010-12-18
36,11,"Jim Carrey","The Black Keys",2011-01-08
36,12,"Gwyneth Paltrow","Cee Lo Green",2011-01-15
36,13,"Jesse Eisenberg","Nicki Minaj",2011-01-29
36,14,"Dana Carvey","Linkin Park",2011-02-05
36,15,"Russell Brand","Chris Brown",2011-02-12
36,16,"Miley Cyrus","The Strokes",2011-03-05
36,17,"Zach Galifianakis","Jessie J",2011-03-12
36,18,"Elton John","Elton John and Leon Russell",2011-04-02
36,19,"Helen Mirren","Foo Fighters",2011-04-09
36,20,"Tina Fey","Ellie Goulding",2011-05-07
36,21,"Ed Helms","Paul Simon",2011-05-14
36,22,"Justin Timberlake","Lady Gaga",2011-05-21
37,1,"Alec Baldwin","Radiohead",2011-09-24
37,2,"Melissa McCarthy","Lady Antebellum",2011-10-01
37,3,"Ben Stiller","Foster the People",2011-10-08
37,4,"Anna Faris","Drake",2011-10-15
37,5,"Charlie Day","Maroon 5",2011-11-05
37,6,"Emma Stone","Coldplay",2011-11-12
37,7,"Jason Segel","Florence + The Machine",2011-11-19
37,8,"Steve Buscemi","The Black Keys",2011-12-03
37,9,"Katy Perry","Robyn",2011-12-10
37,10,"Jimmy Fallon","Michael Bublé",2011-12-17
37,11,"Charles Barkley","Kelly Clarkson",2012-01-07
37,12,"Daniel Radcliffe","Lana Del Rey",2012-01-14
37,13,"Channing Tatum","Bon Iver",2012-02-04
37,14,"Zooey Deschanel","Karmin",2012-02-11
37,15,"Maya Rudolph","Sleigh Bells",2012-02-18
37,16,"Lindsay Lohan","Jack White",2012-03-03
37,17,"Jonah Hill","The Shins",2012-03-10
37,18,"Sofía Vergara","One Direction",2012-04-07
37,19,"Josh Brolin","Gotye",2012-04-14
37,20,"Eli Manning","Rihanna",2012-05-05
37,21,"Will Ferrell","Usher",2012-05-12
37,22,"Mick Jagger","Mick Jagger
(with Arcade Fire, Foo Fighters, Jeff Beck)",2012-05-19
38,1,"Seth MacFarlane","Frank Ocean",2012-09-15
38,2,"Joseph Gordon-Levitt","Mumford & Sons",2012-09-22
38,3,"Daniel Craig","Muse",2012-10-06
38,4,"Christina Applegate","Passion Pit",2012-10-13
38,5,"Bruno Mars","Bruno Mars",2012-10-20
38,6,"Louis C.K.","fun.",2012-11-03
38,7,"Anne Hathaway","Rihanna",2012-11-10
38,8,"Jeremy Renner","Maroon 5",2012-11-17
38,9,"Jamie Foxx","Ne-Yo",2012-12-08
38,10,"Martin Short","Paul McCartney",2012-12-15
38,11,"Jennifer Lawrence","The Lumineers",2013-01-19
38,12,"Adam Levine","Kendrick Lamar",2013-01-26
38,13,"Justin Bieber","Justin Bieber",2013-02-09
38,14,"Christoph Waltz","Alabama Shakes",2013-02-16
38,15,"Kevin Hart","Macklemore and Ryan Lewis",2013-03-02
38,16,"Justin Timberlake","Justin Timberlake",2013-03-09
38,17,"Melissa McCarthy","Phoenix",2013-04-06
38,18,"Vince Vaughn","Miguel",2013-04-13
38,19,"Zach Galifianakis","Of Monsters and Men",2013-05-04
38,20,"Kristen Wiig","Vampire Weekend",2013-05-11
38,21,"Ben Affleck","Kanye West",2013-05-18
39,1,"Tina Fey","Arcade Fire",2013-09-28
39,2,"Miley Cyrus","Miley Cyrus",2013-10-05
39,3,"Bruce Willis","Katy Perry",2013-10-12
39,4,"Edward Norton","Janelle Monáe",2013-10-26
39,5,"Kerry Washington","Eminem",2013-11-02
39,6,"Lady Gaga","Lady Gaga",2013-11-16
39,7,"Josh Hutcherson","HAIM",2013-11-23
39,8,"Paul Rudd","One Direction",2013-12-07
39,9,"John Goodman","Kings of Leon",2013-12-14
39,10,"Jimmy Fallon","Justin Timberlake",2013-12-21
39,11,"Drake","Drake",2014-01-18
39,12,"Jonah Hill","Bastille",2014-01-25
39,13,"Melissa McCarthy","Imagine Dragons",2014-02-01
39,14,"Jim Parsons","Beck",2014-03-01
39,15,"Lena Dunham","The National",2014-03-08
39,16,"Louis C.K.","Sam Smith",2014-03-29
39,17,"Anna Kendrick","Pharrell Williams",2014-04-05
39,18,"Seth Rogen","Ed Sheeran",2014-04-12
39,19,"Andrew Garfield","Coldplay",2014-05-03
39,20,"Charlize Theron","The Black Keys",2014-05-10
39,21,"Andy Samberg","St. Vincent",2014-05-17
40,1,"Chris Pratt","Ariana Grande",2014-09-27
40,2,"Sarah Silverman","Maroon 5",2014-10-04
40,3,"Bill Hader","Hozier",2014-10-11
40,4,"Jim Carrey","Iggy Azalea",2014-10-25
40,5,"Chris Rock","Prince",2014-11-01
40,6,"Woody Harrelson","Kendrick Lamar",2014-11-15
40,7,"Cameron Diaz","Mark Ronson and Bruno Mars",2014-11-22
40,8,"James Franco","Nicki Minaj",2014-12-06
40,9,"Martin Freeman","Charli XCX",2014-12-13
40,10,"Amy Adams","One Direction",2014-12-20
40,11,"Kevin Hart","Sia",2015-01-17
40,12,"Blake Shelton","Blake Shelton",2015-01-24
40,13,"J. K. Simmons","D'Angelo",2015-01-31
40,14,"Dakota Johnson","Alabama Shakes",2015-02-28
40,15,"Chris Hemsworth","Zac Brown Band",2015-03-07
40,16,"Dwayne Johnson","George Ezra",2015-03-28
40,17,"Michael Keaton","Carly Rae Jepsen",2015-04-04
40,18,"Taraji P. Henson","Mumford & Sons",2015-04-11
40,19,"Scarlett Johansson","Wiz Khalifa",2015-05-02
40,20,"Reese Witherspoon","Florence + the Machine",2015-05-09
40,21,"Louis C.K.","Rihanna",2015-05-16
41,1,"Miley Cyrus","Miley Cyrus",2015-10-03
41,2,"Amy Schumer","The Weeknd",2015-10-10
41,3,"Tracy Morgan","Demi Lovato",2015-10-17
41,4,"Donald Trump","Sia",2015-11-07
41,5,"Elizabeth Banks","Disclosure",2015-11-14
41,6,"Matthew McConaughey","Adele",2015-11-21
41,7,"Ryan Gosling","Leon Bridges",2015-12-05
41,8,"Chris Hemsworth","Chance the Rapper",2015-12-12
41,9,"Tina Fey & Amy Poehler","Bruce Springsteen & the E Street Band",2015-12-19
41,10,"Adam Driver","Chris Stapleton",2016-01-16
41,11,"Ronda Rousey","Selena Gomez",2016-01-23
41,12,"Larry David","The 1975",2016-02-06
41,13,"Melissa McCarthy","Kanye West",2016-02-13
41,14,"Jonah Hill","Future",2016-03-05
41,15,"Ariana Grande","Ariana Grande",2016-03-12
41,16,"Peter Dinklage","Gwen Stefani",2016-04-02
41,17,"Russell Crowe","Margo Price",2016-04-09
41,18,"Julia Louis-Dreyfus","Nick Jonas",2016-04-16
41,19,"Brie Larson","Alicia Keys",2016-05-07
41,20,"Drake","Drake",2016-05-14
41,21,"Fred Armisen","Courtney Barnett",2016-05-21
42,1,"Margot Robbie","The Weeknd",2016-10-01
42,2,"Lin-Manuel Miranda","Twenty One Pilots",2016-10-08
42,3,"Emily Blunt","Bruno Mars",2016-10-15
42,4,"Tom Hanks","Lady Gaga",2016-10-22
42,5,"Benedict Cumberbatch","Solange",2016-11-05
42,6,"Dave Chappelle","A Tribe Called Quest",2016-11-12
42,7,"Kristen Wiig","The xx",2016-11-19
42,8,"Emma Stone","Shawn Mendes",2016-12-03
42,9,"John Cena","Maren Morris",2016-12-10
42,10,"Casey Affleck","Chance the Rapper",2016-12-17
42,11,"Felicity Jones","Sturgill Simpson",2017-01-14
42,12,"Aziz Ansari","Big Sean",2017-01-21
42,13,"Kristen Stewart","Alessia Cara",2017-02-04
42,14,"Alec Baldwin","Ed Sheeran",2017-02-11
42,15,"Octavia Spencer","Father John Misty",2017-03-04
42,16,"Scarlett Johansson","Lorde",2017-03-11
42,17,"Louis C.K.","The Chainsmokers",2017-04-08
42,18,"Jimmy Fallon","Harry Styles",2017-04-15
42,19,"Chris Pine","LCD Soundsystem",2017-05-06
42,20,"Melissa McCarthy","HAIM",2017-05-13
42,21,"Dwayne Johnson","Katy Perry",2017-05-20
