"Season","SeasonEpNumber","Guests","Host","MusicalGuest","AirDate","Rating","Votes"
3,4,"Charles Grodin/Paul Simon","Charles Grodin","Paul Simon","1977-10-29",7,46
3,5,"Ray Charles","Ray Charles","Ray Charles","1977-11-12",7.9,49
3,6,"Buck Henry/Leon Redbone","Buck Henry","Leon Redbone","1977-11-19",6.8,41
3,7,"Mary Kay Place/Willie Nelson","Mary Kay Place","Willie Nelson","1977-12-10",7.5,36
3,8,"Miskel Spillman/Elvis Costello","Miskel Spillman","Elvis Costello","1977-12-17",7.5,41
3,9,"Steve Martin/Randy Newman, Dirt Band","Steve Martin","Randy Newman, The Nitty Gritty Dirt Band","1978-01-21",7.8,52
3,10,"Robert Klein/Bonnie Raitt","Robert Klein","Bonnie Raitt","1978-01-28",7.7,53
3,11,"Chevy Chase/Billy Joel","Chevy Chase","Billy Joel","1978-02-18",7.5,45
3,12,"O.J. Simpson/Ashford & Simpson","O. J. Simpson","Ashford and Simpson","1978-02-25",7,46
3,13,"Art Garfunkel/Stephen Bishop","Art Garfunkel","Stephen Bishop","1978-03-11",6.4,44
3,14,"Jill Clayburgh/Eddie Money","Jill Clayburgh","Eddie Money","1978-03-18",6.6,38
3,15,"Christopher Lee/Meat Loaf","Christopher Lee","Meat Loaf","1978-03-25",7.7,54
3,16,"Michael Palin/Eugene Record","Michael Palin","Eugene Record","1978-04-08",7.8,40
3,17,"Michael Sarrazin/Keith Jarrett, Gravity","Michael Sarrazin","Keith Jarrett","1978-04-15",7,38
3,18,"Steve Martin/The Blues Brothers","Steve Martin","The Blues Brothers","1978-04-22",8.4,84
3,19,"Richard Dreyfuss/Jimmy Buffett, Gary Tigerman","Richard Dreyfuss","Jimmy Buffett, Gary Tigerman","1978-05-13",7.4,36
3,20,"Buck Henry/Sun Ra","Buck Henry","Sun Ra","1978-05-20",7.2,37
4,1,"The Rolling Stones","The Rolling Stones","The Rolling Stones","1978-10-07",7.4,52
4,2,"Fred Willard/Devo","Fred Willard","Devo","1978-10-14",7.2,42
4,3,"Frank Zappa","Frank Zappa","Frank Zappa","1978-10-21",7,53
4,4,"Steve Martin/Van Morrison","Steve Martin","Van Morrison","1978-11-04",8.2,44
4,5,"Buck Henry/The Grateful Dead","Buck Henry","Grateful Dead","1978-11-11",7,41
4,6,"Carrie Fisher/The Blues Brothers","Carrie Fisher","The Blues Brothers","1978-11-18",7.9,80
4,7,"Walter Matthau","Walter Matthau","none","1978-12-02",7.6,40
4,8,"Eric Idle/Kate Bush","Eric Idle","Kate Bush","1978-12-09",7.9,60
4,9,"Elliott Gould/Peter Tosh","Elliott Gould","Peter Tosh with Mick Jagger","1978-12-16",6.2,42
4,10,"Michael Palin/The Doobie Brothers","Michael Palin","The Doobie Brothers","1979-01-27",7.1,38
4,11,"Cicely Tyson/Talking Heads","Cicely Tyson","Talking Heads","1979-02-10",7.4,40
4,12,"Ricky Nelson/Judy Collins","Ricky Nelson","Judy Collins","1979-02-17",7.3,53
4,13,"Kate Jackson/Delbert McClinton","Kate Jackson","Delbert McClinton","1979-02-24",6.3,34
4,14,"Gary Busey/Eubie Blake and Gregory Hines","Gary Busey","Eubie Blake & Gregory HinesGary Busey with Rick Danko & Paul Butterfield","1979-03-10",7.5,37
4,15,"Margot Kidder/The Chieftains","Margot Kidder","The Chieftains","1979-03-17",6.9,43
4,16,"Richard Benjamin/Rickie Lee Jones","Richard Benjamin","Rickie Lee Jones","1979-04-07",7.5,42
4,17,"Milton Berle/Ornette Coleman","Milton Berle","Ornette Coleman","1979-04-14",6.4,41
4,18,"Michael Palin/James Taylor","Michael Palin","James Taylor","1979-05-12",7.6,40
4,19,"Maureen Stapleton/Linda Ronstadt/Phoebe Snow","Maureen Stapleton","Linda RonstadtPhoebe Snow","1979-05-19",7.4,34
4,20,"Buck Henry/Bette Midler","Buck Henry","Bette Midler","1979-05-26",7.8,38
5,1,"Steve Martin/Blondie","Steve Martin","Blondie","1979-10-13",7.8,53
5,2,"Eric Idle/Bob Dylan","Eric Idle","Bob Dylan","1979-10-20",7.9,39
5,3,"Bill Russell/Chicago","Bill Russell","Chicago","1979-11-03",6.4,34
5,4,"Buck Henry/Tom Petty & The Heartbreakers","Buck Henry","Tom Petty and the Heartbreakers","1979-11-10",6.6,37
5,5,"Bea Arthur/The Roches","Bea Arthur","The Roches","1979-11-17",6.3,30
5,6,"Howard Hesseman/Randy Newman","Howard Hesseman","Randy Newman","1979-12-08",6.3,33
5,7,"Martin Sheen/David Bowie","Martin Sheen","David Bowie","1979-12-15",6.9,44
5,8,"Ted Knight/Desmond Child & Rouge","Ted Knight","Desmond Child & Rouge","1979-12-22",6.2,29
5,9,"Teri Garr/The B-52's","Teri Garr","The B-52's","1980-01-26",6.4,30
5,10,"Chevy Chase/Marianne Faithfull","Chevy Chase","Marianne FaithfullTom Scott","1980-02-09",6.6,36
5,11,"Elliott Gould/Gary Numan","Elliott Gould","Gary Numan","1980-02-16",6,27
5,12,"Kirk Douglas/Sam and Dave","Kirk Douglas","Sam & Dave","1980-02-23",6.8,28
5,13,"Rodney Dangerfield/The J. Geils Band","Rodney Dangerfield","The J. Geils Band","1980-03-08",6.9,36
5,14,"Paul Simon, James Taylor & David Sanborn","none","Paul SimonJames TaylorDavid Sanborn","1980-03-15",6.4,31
5,15,"Richard Benjamin, Paula Prentiss/The Grateful Dead","Richard BenjaminPaula Prentiss","The Grateful Dead","1980-04-05",6.1,28
5,16,"Burt Reynolds/Anne Murray","Burt Reynolds","Anne Murray","1980-04-12",5.6,31
5,17,"Strother Martin/The Specials","Strother Martin","The Specials","1980-04-19",7.1,34
5,18,"Bob Newhart/The Amazing Rhthym Aces/Bruce Cockburn","Bob Newhart","The Amazing Rhythm AcesBruce Cockburn","1980-05-10",7.5,29
5,19,"Steve Martin/Paul & Linda McCartney/3-D","Steve Martin","3-D, Paul McCartney and Linda McCartney","1980-05-17",8.1,34
5,20,"Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity","Buck Henry","Andrew GoldAndrae Crouch & the Voices of Unity","1980-05-24",8.1,31
6,1,"Elliott Gould/Kid Creole & the Coconuts","Elliott Gould","Kid Creole & the Coconuts","1980-11-15",6.8,41
6,2,"Malcolm McDowell/Captain Beefheart & The Magic Band","Malcolm McDowell","Captain Beefheart & His Magic Band","1980-11-22",5.9,42
6,3,"Ellen Burstyn/Aretha Franklin/Keith Sykes","Ellen Burstyn","Aretha Franklin
Keith Sykes","1980-12-06",6.6,30
6,4,"Jamie Lee Curtis/James Brown/Ellen Shipley","Jamie Lee Curtis","James BrownEllen Shipley","1980-12-13",6.4,32
6,5,"David Carradine/Linda Ronstadt/Cast of 'The Pirates of Penzance'","David Carradine","Linda Ronstadt
The Cast of The Pirates of Penzance","1980-12-20",6,36
6,6,"Ray Sharkey/Jack Bruce & Friends","Ray Sharkey","Jack Bruce & Friends","1981-01-10",5.7,32
6,7,"Karen Black/Cheap Trick/Stanley Clarke Trio","Karen Black","Cheap TrickStanley Clarke Trio","1981-01-17",6.3,30
6,8,"Robert Hays/14 Karat Soul/Joe 'King' Carrasco & The Crowns","Robert Hays","Joe ""King"" Carrasco & the Crowns
14 Karat Soul","1981-01-24",6.2,20
6,9,"Sally Kellerman/Jimmy Cliff","Sally Kellerman","Jimmy Cliff","1981-02-07",6.3,24
6,10,"Deborah Harry/Funky 4 + 1 More","Deborah Harry","Deborah HarryFunky Four Plus One","1981-02-14",6.6,30
6,11,"Charlene Tilton/Todd Rundgren/Prince","Charlene Tilton","Todd RundgrenPrince","1981-02-21",5.7,32
6,12,"Bill Murray/Delbert McClinton","Bill Murray","Delbert McClinton","1981-03-07",7.9,34
6,13,"Jr. Walker & the All-Stars","none","Jr. Walker & the All-Stars","1981-04-11",7.9,30
7,1,"Rod Stewart","(none)","Rod Stewart","1981-10-03",6.6,36
7,2,"Susan Saint James/The Kinks","Susan Saint James","The Kinks","1981-10-10",5.9,33
7,3,"George Kennedy/Miles Davis","George Kennedy","Miles Davis","1981-10-17",7.6,26
7,4,"Donald Pleasance/Fear","Donald Pleasence","Fear","1981-10-31",7,30
