"Season","Guests","Rating","Votes"
6,"Karen Black/Cheap Trick/Stanley Clarke Trio","6.3","30"
6,"Robert Hays/14 Karat Soul/Joe 'King' Carrasco & The Crowns","6.2","20"
6,"Sally Kellerman/Jimmy Cliff","6.3","24"
6,"Deborah Harry/Funky 4 + 1 More","6.6","30"
6,"Charlene Tilton/Todd Rundgren/Prince","5.7","32"
6,"Bill Murray/Delbert McClinton","7.9","34"
6,"Jr. Walker & the All-Stars","7.9","30"
7,"Rod Stewart","6.6","36"
7,"Susan Saint James/The Kinks","5.9","33"
7,"George Kennedy/Miles Davis","7.6","26"
7,"Donald Pleasance/Fear","7.0","30"
7,"Lauren Hutton/Rick James & The Stone City Band","6.3","35"
7,"Bernadette Peters/Billy Joel/The Go-Go's","6.8","28"
7,"Tim Curry/Meat Loaf/The Neverland Express","6.8","25"
7,"Bill Murray/The Spinners/Yale Whiffenpoofs","6.5","37"
7,"Robert Conrad/The Allman Brothers Band","6.6","29"
7,"John Madden/Jennifer Holliday","6.5","32"
7,"James Coburn/Lindsey Buckingham","6.3","26"
7,"Bruce Dern/Luther Vandross","5.5","25"
7,"Elizabeth Ashley/Hall & Oates","7.8","28"
7,"Robert Urich/Mink DeVille","6.5","22"
7,"Blythe Danner/Rickie Lee Jones","5.7","29"
7,"Daniel J. Travanti/John Cougar","6.4","27"
7,"Johnny Cash/Elton John","7.9","40"
7,"Robert Culp/The Charlie Daniels Band","6.4","23"
7,"Danny DeVito/Sparks","6.9","21"
7,"Olivia Newton-John","7.9","30"
8,"Chevy Chase/Queen","8.5","45"
8,"Louis Gossett Jr/George Thorogood & The Destroyers","7.3","26"
8,"Ron Howard/The Clash","8.2","41"
8,"Howard Hesseman/Men at Work","7.5","29"
8,"Michael Keaton/The New Joe Jackson Band","7.2","37"
8,"Robert Blake/Kenny Loggins","5.9","25"
8,"Drew Barrymore/Squeeze","7.9","44"
8,"Tom & Dick Smothers/Laura Branigan","7.5","30"
8,"Eddie Murphy/Lionel Richie","8.1","38"
8,"Lily Tomlin","7.0","28"
8,"Rick Moranis and Dave Thomas/The Bus Boys","7.8","31"
8,"Sid Caesar/Joe Cocker/Jennifer Warnes","6.5","26"
8,"Howard Hesseman/Tom Petty & The Heartbreakers","7.5","24"
8,"Beau and Jeff Bridges/Randy Newman","6.6","25"
8,"Bruce Dern/Leon Redbone","6.7","23"
8,"Robert Guilaume/Duran Duran","7.8","22"
8,"Joan Rivers/Musical Youth","8.0","27"
8,"Susan Saint James/Michael McDonald","7.6","26"
8,"Stevie Wonder","7.9","29"
8,"Ed Koch/Kevin Rowland & Dexy's Midnight Runners","8.0","23"
9,"Brandon Tartikoff/John Cougar Mellencamp","6.0","24"
9,"Danny DeVito & Rhea Pearlman/Eddy Grant","6.1","32"
9,"John Candy/Men at Work","6.4","27"
9,"Betty Thomas/Stray Cats","5.8","32"
9,"Teri Garr/Mick Fleetwood's Zoo","5.7","28"
9,"Jerry Lewis/Loverboy","5.7","31"
9,"The Smothers Brothers/Big Country","5.7","32"
9,"Flip Wilson/Stevie Nicks","6.2","28"
9,"Father Guido Sarducci/Huey Lewis & The News","6.3","30"
9,"Michael Palin/Mary Palin/The Motels","6.5","29"
9,"Don Rickles/Billy Idol","8.0","25"
9,"Robin Williams/Adam Ant","6.4","34"
9,"Jamie Lee Curtis/The Fixx","6.9","27"
9,"Edwin Newman/Kool & The Gang","6.3","22"
9,"Billy Crystal/Al Jarreau","5.8","29"
9,"Michael Douglas/Deniece Williams","6.5","34"
9,"George McGovern/Madness","5.8","32"
9,"Barry Bostwick/Spinal Tap","7.7","29"
9,"Billy Crystal/Ed Koch/Edwin Newman/Don Novello/Betty Thomas/The Cars","6.2","31"
10,"Thompson Twins","6.3","26"
10,"Bob Uecker/Peter Wolf","6.6","26"
10,"Jesse Jackson/Andrae Crouch, Wintley Phipps","6.2","32"
10,"Michael McKean/Chaka Khan/The Folksmen","7.0","27"
10,"George Carlin/Frankie Goes to Hollywood","8.0","33"
10,"Ed Asner/The Kinks","7.5","25"
10,"Ed Begley Jr/Billy Squier","5.4","28"
10,"Ringo Starr/Herbie Hancock","6.6","30"
10,"Eddie Murphy/Robert Plant & The Honeydrippers","7.4","48"
10,"Kathleen Turner/John Waite","5.9","27"
10,"Roy Scheider/Billy Ocean","7.6","27"
10,"Alex Karras/Tina Turner","6.4","25"
10,"Harry Anderson/Bryan Adams","5.8","33"
10,"Pamela Sue Martin/Power Station","5.4","30"
10,"SNL Film Festival","7.2","25"
10,"Mr. T and Hulk Hogan/The Commodores","6.1","34"
10,"Christopher Reeve/Santana","6.2","28"
10,"Howard Cosell/Greg Kihn","6.2","28"
11,"Madonna/Simple Minds","6.3","35"
11,"Chevy Chase/Sheila E.","6.5","32"
11,"Pee Wee Herman/Queen Ida & The Bon Temps Zydeco Band","6.3","27"
11,"John Lithgow/Mr. Mister","6.8","23"
11,"Tom Hanks/Sade","6.3","33"
11,"Teri Garr/Dream Academy/The Cult","6.5","25"
11,"Harry Dean Stanton/The Replacements","6.4","26"
11,"Dudley Moore/Al Green","6.1","23"
11,"Ron Reagan/The Nelsons","6.6","23"
11,"Jerry Hall/Stevie Ray Vaughan/Jimmie Vaughan","5.9","32"
11,"Jay Leno/The Neville Brothers","5.0","23"
11,"Griffin Dunne/Rosanne Cash","6.7","19"
11,"George Wendt and Francis Ford Coppola/Philip Glass","6.7","19"
11,"Oprah Winfrey/Joe Jackson","5.6","27"
11,"Tony Danza/Laurie Anderson","5.1","25"
11,"Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo","6.9","31"
11,"Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily","5.9","25"
11,"Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic","7.6","32"
12,"Sigourney Weaver/Buster Poindexter","7.8","49"
12,"Malcolm-Jamal Warner/Run-DMC","6.0","30"
12,"Rosanna Arquette/Ric Ocasek","6.1","19"
12,"Sam Kinison/Lou Reed","6.6","27"
12,"Robin Williams/Paul Simon","8.0","27"
12,"Chevy Chase/Steve Martin/Martin Short/Randy Newman","8.1","31"
12,"Steve Guttenberg/The Pretenders","6.9","25"
12,"William Shatner/Lone Justice","8.0","45"
12,"Walter Payton & Joe Montana/Debbie Harry","6.4","23"
12,"Paul Shaffer/Bruce Hornsby & The Range","5.6","22"
12,"Bronson Pinchot/Paul Young/Buster Poindexter","6.2","22"
12,"Willie Nelson","7.1","23"
12,"Valerie Bertinelli/Robert Cray Band","6.7","22"
12,"Bill Murray/Percy Sledge","6.4","20"
12,"Charlton Heston/Wynton Marsalis","7.2","31"
12,"John Lithgow/Anita Baker","5.6","22"
12,"John Larroquette/Timbuk-3","6.1","21"
12,"Mark Harmon/Suzanne Vega","5.4","23"
12,"Garry Shandling/Los Lobos","5.7","30"
12,"Dennis Hopper/Roy Orbison","6.4","27"
13,"Steve Martin/Sting","7.1","35"
13,"Sean Penn/L.L. Cool J, Michael Penn & The Pull","5.8","29"
13,"Dabney Coleman/The Cars","7.6","25"
13,"Robert Mitchum/Simply Red","5.6","29"
13,"Candice Bergen/Cher","6.3","26"
13,"Danny DeVito/Bryan Ferry","5.7","25"
13,"Angie Dickinson/Buster Pointdexter/David Gilmour","6.1","23"
13,"Paul Simon/Linda Ronstadt","5.5","25"
13,"Robin Williams/James Taylor","6.7","25"
13,"Carl Weathers/Robbie Robertson","6.0","21"
13,"Justine Bateman/Terrance Trent D'Arby","6.4","23"
13,"Tom Hanks/Randy Travis","5.8","32"
13,"Judge Reinhold/10,000 Maniacs","6.4","21"
14,"Tom Hanks/Keith Richards","6.8","43"
14,"Matthew Broderick/The Sugarcubes","5.4","30"
14,"John Larroquette/Randy Newman & Mark Knopfler","5.8","25"
14,"Matthew Modine/Edie Brickell & New Bohemians","5.6","23"
14,"Demi Moore/Johnny Clegg & Savuka","6.3","29"
14,"John Lithgow/Tracy Chapman","6.4","23"
14,"Danny DeVito/The Bangles","6.3","27"
14,"Kevin Kline/Bobby McFerrin","7.0","24"
14,"Melanie Griffith/Little Feat","6.4","24"
14,"John Malkovich/Anita Baker","6.2","22"
14,"Tony Danza/John Hiatt","6.4","19"
14,"Ted Danson/Luther Vandross","5.6","27"
14,"Leslie Nielsen/Cowboy Junkies","6.2","30"
14,"Glenn Close/Gipsy Kings","5.9","31"
14,"Mary Tyler Moore/Elvis Costello","6.1","28"
