"Season","Guests","Rating","Votes"
27,"Billy Bob Thornton/Creed","5.3","39"
27,"Derek Jeter/Shakira/Bubba Sparxxx","6.5","49"
27,"Hugh Jackman/Mick Jagger","6.9","67"
27,"Ellen Degeneres/No Doubt","5.9","40"
27,"Josh Hartnett/Pink","5.9","47"
27,"Jack Black/The Strokes","6.0","50"
27,"Britney Spears","6.3","58"
27,"Jonny Moseley/Outkast","5.0","28"
27,"Jon Stewart/India.Arie","6.1","37"
27,"Ian McKellen/Kylie Minogue","7.4","53"
27,"Cameron Diaz/Jimmy Eat World","5.4","31"
27,"The Rock/Andrew W.K.","5.4","43"
27,"Alec Baldwin/P.O.D.","5.8","46"
27,"Kirsten Dunst/Eminem","5.9","50"
27,"Winona Ryder/Moby","6.5","63"
28,"Matt Damon/Bruce Springsteen & The E Street Band","6.3","58"
28,"Sarah Michelle Gellar/Faith Hill","6.6","65"
28,"Senator John McCain/The White Stripes","5.3","63"
28,"Eric McCormack/Jay-Z","4.7","30"
28,"Nia Vardalos/Eve","4.3","27"
28,"Brittany Murphy/Nelly","5.5","36"
28,"Robert De Niro/Norah Jones","5.6","43"
28,"Al Gore/Phish","6.1","56"
28,"Jeff Gordon/Avril Lavigne","6.1","39"
28,"Ray Liotta/The Donnas","5.4","30"
28,"Matthew McConaughey/Dixie Chicks","5.9","31"
28,"Jennifer Garner/Beck","6.1","40"
28,"Christopher Walken/Foo Fighters","6.7","48"
28,"Queen Latifah/Ms. Dynamite","4.0","35"
28,"Salma Hayek/Christina Aguilera","6.0","42"
28,"Bernie Mac/Good Charlotte","4.5","30"
28,"Ray Romano/Zwan","4.9","26"
28,"Ashton Kutcher/50 Cent","3.9","38"
28,"Adrien Brody/Sean Paul & Wayne Wonder","5.6","41"
28,"Dan Aykroyd/Beyonce","5.4","38"
29,"Jack Black/John Mayer","5.3","39"
29,"Justin Timberlake","7.5","66"
29,"Halle Berry/Britney Spears","5.2","43"
29,"Kelly Ripa/Outkast","4.6","27"
29,"Andy Roddick/Dave Matthews","4.6","27"
29,"Alec Baldwin/Missy Elliott","5.8","43"
29,"Al Sharpton/Pink","3.8","48"
29,"Elijah Wood/Jet","6.4","46"
29,"Jennifer Aniston/Black Eyed Peas","7.1","47"
29,"Jessica Simpson and Nick Lachey/G-Unit","5.4","39"
29,"Megan Mullally/Clay Aiken","5.9","46"
29,"Drew Barrymore/Kelis","6.2","42"
29,"Christina Aguilera/Maroon 5","6.2","46"
29,"Colin Firth/Norah Jones","6.5","53"
29,"Ben Affleck/N.E.R.D.","5.6","39"
29,"Donald Trump/Toots and the Maytals","5.6","44"
29,"Janet Jackson","5.9","37"
29,"Lindsay Lohan/Usher","6.8","83"
29,"Snoop Dogg/Avril Lavigne","5.1","40"
29,"Mary-Kate & Ashley Olsen/J-Kwon","5.7","56"
30,"Ben Affleck/Nelly","6.9","53"
30,"Queen Latifah","5.3","43"
30,"Jude Law/Ashlee Simpson","6.5","64"
30,"Kate Winslet/Eminem","5.9","60"
30,"Liam Neeson/Modest Mouse","6.3","41"
30,"Luke Wilson/U2","5.9","41"
30,"Colin Farrell/Scissor Sisters","6.0","52"
30,"Robert De Niro/Destiny's Child","6.1","56"
30,"Topher Grace/The Killers","6.9","54"
30,"Paul Giamatti/Ludacris featuring Sum-41","5.7","35"
30,"Paris Hilton/Keane","3.4","79"
30,"Jason Bateman/Kelly Clarkson","7.4","47"
30,"Hilary Swank/50 Cent","4.8","42"
30,"David Spade/Jack Johnson","5.7","46"
30,"Ashton Kutcher/Gwen Stefani","4.5","50"
30,"Cameron Diaz/Green Day","5.4","60"
30,"Tom Brady/Beck","6.4","48"
30,"Johnny Knoxville/System of a Down","5.8","58"
30,"Will Ferrell/Queens of the Stone Age","7.4","59"
30,"Lindsay Lohan/Coldplay","5.7","60"
31,"Steve Carell/Kanye West","6.2","83"
31,"Jon Heder/Ashlee Simpson","4.7","49"
31,"Catherine Zeta-Jones/Franz Ferdinand","6.5","49"
31,"Lance Armstrong/Sheryl Crow","5.1","38"
31,"Jason Lee/Foo Fighters","6.2","49"
31,"Eva Longoria/Korn","6.2","49"
31,"Dane Cook/James Blunt","5.2","86"
31,"Alec Baldwin/Shakira","6.2","59"
31,"Jack Black/Neil Young","6.8","79"
31,"Scarlett Johansson/Death Cab for Cutie","6.9","72"
31,"Peter Sarsgaard/The Strokes","6.6","52"
31,"Steve Martin/Prince","7.6","64"
31,"Natalie Portman/Fall Out Boy","8.0","111"
31,"Matt Dillon/Arctic Monkeys","6.3","48"
31,"Antonio Banderas/Mary J. Blige","5.9","47"
31,"Lindsay Lohan/Pearl Jam","6.5","63"
31,"Tom Hanks/Red Hot Chili Peppers","6.4","67"
31,"Julia Louis-Dreyfus/Paul Simon","6.7","65"
31,"Kevin Spacey/Nelly Furtado","6.5","63"
32,"Dane Cook/The Killers","5.6","98"
32,"Jaime Pressly/Corinne Bailey Rae","5.6","56"
32,"John C. Reilly/My Chemical Romance","6.7","79"
32,"Hugh Laurie/Beck","7.5","99"
32,"Alec Baldwin/Christina Aguilera","7.5","86"
32,"Chris 'Ludacris' Bridges","5.7","46"
32,"Matthew Fox/Tenacious D","7.4","67"
32,"Annette Bening/Gwen Stefani/Akon","6.8","56"
32,"Justin Timberlake","8.5","209"
32,"Jake Gyllenhaal/The Shins","7.8","100"
32,"Jeremy Piven/AFI","7.4","73"
32,"Drew Barrymore/Lily Allen","7.5","77"
32,"Forest Whitaker/Keith Urban","6.5","47"
32,"Rainn Wilson/Arcade Fire","7.4","75"
32,"Julia Louis-Dreyfus/Snow Patrol","7.1","60"
32,"Peyton Manning/Carrie Underwood","8.2","137"
32,"Shia LaBeouf/Avril Lavigne","7.3","131"
32,"Scarlett Johansson/Björk","7.4","84"
32,"Molly Shannon/Linkin Park","7.9","52"
32,"Zach Braff/Maroon 5","7.4","80"
33,"LeBron James/Kanye West","6.9","100"
33,"Seth Rogen/Spoon","7.3","79"
33,"Jon Bon Jovi/Foo Fighters","7.1","74"
33,"Brian Williams/Feist","7.6","65"
33,"Tina Fey/Carrie Underwood","8.0","109"
33,"Ellen Page/Wilco","7.4","118"
33,"Amy Adams/Vampire Weekend","7.7","92"
33,"Jonah Hill/Mariah Carey","6.7","81"
33,"Christopher Walken/Panic at the Disco","8.0","104"
33,"Ashton Kutcher/Gnarls Barkley","7.0","74"
33,"Shia LaBeouf/My Morning Jacket","7.8","84"
33,"Steve Carell/Usher","7.8","91"
34,"Michael Phelps/Lil' Wayne","6.0","119"
34,"James Franco/Kings of Leon","6.7","121"
34,"Anna Faris/Duffy","6.5","80"
34,"Anne Hathaway/The Killers","7.7","136"
34,"Josh Brolin/Adele","7.7","114"
34,"Jon Hamm/Coldplay","7.6","101"
34,"Ben Affleck/David Cook","7.1","96"
34,"Paul Rudd/Beyoncé","7.7","123"
34,"Tim McGraw/Ludacris/T-Pain","6.4","55"
34,"John Malkovich/T.I.","7.3","93"
34,"Hugh Laurie/Kanye West","6.7","89"
34,"Neil Patrick Harris/Taylor Swift","7.1","108"
34,"Rosario Dawson/Fleet Foxes","5.9","74"
34,"Steve Martin/Jason Mraz","6.3","79"
34,"Bradley Cooper/TV on the Radio","6.4","80"
34,"Alec Baldwin/Jonas Brothers","6.8","95"
34,"Dwayne Johnson/Ray LaMontagne","7.4","87"
34,"Tracy Morgan/Kelly Clarkson","6.3","75"
34,"Seth Rogen/Phoenix","6.2","77"
34,"Zac Efron/Yeah Yeah Yeahs","6.9","107"
34,"Justin Timberlake/Ciara","8.1","174"
34,"Will Ferrell/Green Day","7.9","125"
35,"Megan Fox/U2","6.3","136"
35,"Ryan Reynolds/Lady Gaga","7.3","171"
35,"Drew Barrymore/Regina Spektor","6.0","98"
35,"Gerard Butler/Shakira","7.1","115"
35,"Taylor Swift","7.1","164"
35,"January Jones/Black Eyed Peas","4.4","101"
35,"Joseph Gordon-Levitt/Dave Matthews Band","7.5","130"
35,"Blake Lively/Rihanna","6.6","119"
35,"Taylor Lautner/Bon Jovi","5.9","125"
35,"James Franco/Muse","6.9","124"
35,"Charles Barkley/Alicia Keys","6.2","79"
35,"Sigourney Weaver/The Ting Tings","6.5","90"
35,"Jon Hamm/Michael Bublé","7.4","119"
35,"Ashton Kutcher/Them Crooked Vultures","6.0","86"
35,"Jennifer Lopez","6.2","95"
35,"Zach Galifianakis/Vampire Weekend","7.9","139"
35,"Jude Law/Pearl Jam","6.6","96"
35,"Tina Fey/Justin Bieber","7.4","155"
35,"Ryan Phillippe/Ke$ha","6.1","91"
35,"Gabourey Sidibe/MGMT","5.7","95"
35,"Betty White/Jay-Z","8.8","344"
35,"Alec Baldwin/Tom Petty & the Heartbreakers","6.6","97"
36,"Amy Poehler/Katy Perry","7.5","150"
36,"Bryan Cranston/Kanye West","6.9","129"
36,"Jane Lynch/Bruno Mars","6.4","103"
36,"Emma Stone/Kings of Leon","7.3","143"
36,"Jon Hamm/Rihanna","6.9","113"
36,"Scarlett Johansson/Arcade Fire","6.5","124"
36,"Anne Hathaway/Florence and the Machine","7.1","121"
36,"Robert De Niro/Diddy-Dirty Money","6.0","117"
36,"Paul Rudd/Paul McCartney","6.5","116"
36,"Jeff Bridges/Eminem and Lil Wayne","6.2","106"
36,"Jim Carrey/The Black Keys","7.4","136"
36,"Gwyneth Paltrow/Cee Lo Green","6.5","109"
36,"Jesse Eisenberg/Nicki Minaj","7.4","136"
36,"Dana Carvey/Linkin Park","7.4","113"
36,"Russell Brand/Chris Brown","6.2","114"
36,"Miley Cyrus/The Strokes","6.2","123"
36,"Zach Galifianakis/Jessie J","7.2","127"
36,"Elton John/Leon Russell","6.3","98"
36,"Helen Mirren/Foo Fighters","6.5","93"
36,"Tina Fey/Ellie Goulding","7.0","116"
36,"Ed Helms/Paul Simon","6.0","94"
36,"Justin Timberlake/Lady Gaga","8.4","230"
37,"Alec Baldwin/Radiohead","7.3","162"
37,"Melissa McCarthy/Lady Antebellum","7.6","171"
37,"Ben Stiller/Foster the People","7.4","144"
37,"Anna Faris/Drake","6.0","140"
37,"Charlie Day/Maroon 5","7.3","142"
37,"Emma Stone/Coldplay","7.5","155"
37,"Jason Segel/Florence and the Machine","7.8","152"
37,"Steve Buscemi/The Black Keys","7.0","114"
37,"Katy Perry/Robyn","7.4","153"
37,"Jimmy Fallon/Michael Bublé","8.5","238"
37,"Charles Barkley/Kelly Clarkson","5.9","120"
37,"Daniel Radcliffe/Lana Del Rey","6.7","167"
37,"Channing Tatum/Bon Iver","6.2","131"
37,"Zooey Deschanel/Karmin","7.6","162"
37,"Maya Rudolph/Sleigh Bells","8.1","173"
37,"Lindsay Lohan/Jack White","5.8","156"
37,"Jonah Hill/The Shins","7.1","130"
37,"Sofía Vergara/One Direction","7.5","157"
37,"Josh Brolin/Gotye","6.9","112"
37,"Eli Manning/Rihanna","6.5","115"
37,"Will Ferrell/Usher","7.7","111"
37,"Mick Jagger","8.0","151"
38,"Seth MacFarlane/Frank Ocean","7.9","261"
38,"Joseph Gordon-Levitt/Mumford & Sons","7.1","191"
38,"Daniel Craig/Muse","6.3","150"
38,"Christina Applegate/Passion Pit","6.8","140"
38,"Bruno Mars","7.5","178"
38,"Louis C.K./Fun","7.5","195"
38,"Anne Hathaway/Rihanna","7.6","176"
38,"Jeremy Renner/Maroon 5","6.7","162"
38,"Jamie Foxx/Ne-Yo","6.7","134"
38,"Martin Short/Paul McCartney","7.9","160"
38,"Jennifer Lawrence/The Lumineers","6.9","199"
38,"Adam Levine/Kendrick Lamar","6.6","157"
38,"Justin Bieber","4.1","211"
38,"Christoph Waltz/Alabama Shakes","7.2","178"
38,"Kevin Hart/Macklemore & Ryan Lewis","6.6","140"
38,"Justin Timberlake","8.5","273"
38,"Melissa McCarthy/Phoenix","7.2","133"
38,"Vince Vaughn/Miguel","5.2","98"
38,"Zach Galifianakis/Of Monsters and Men","7.7","132"
38,"Kristen Wiig/Vampire Weekend","7.3","130"
38,"Ben Affleck/Kanye West","7.6","134"
39,"Tina Fey/Arcade Fire","7.6","213"
39,"Miley Cyrus","6.3","224"
39,"Bruce Willis/Katy Perry","6.4","178"
39,"Edward Norton/Janelle Monae","7.3","166"
39,"Kerry Washington/Eminem","7.7","188"
39,"Lady Gaga","7.7","199"
39,"Josh Hutcherson/HAIM","7.6","192"
39,"Paul Rudd/One Direction","7.2","158"
39,"John Goodman/Kings of Leon","7.1","130"
39,"Jimmy Fallon/Justin Timberlake","8.8","415"
39,"Drake","7.2","172"
39,"Jonah Hill/Bastille","7.3","142"
39,"Melissa McCarthy/Imagine Dragons","6.5","165"
39,"Jim Parsons/Beck","6.1","158"
39,"Lena Dunham/The National","6.0","131"
39,"Louis C.K./Sam Smith","7.3","157"
39,"Anna Kendrick/Pharrell Williams","7.6","175"
39,"Seth Rogen/Ed Sheeran","6.4","130"
39,"Andrew Garfield/Coldplay","7.6","164"
39,"Charlize Theron/The Black Keys","6.2","120"
39,"Andy Samberg/St. Vincent","8.0","174"
40,"Chris Pratt/Ariana Grande","6.8","274"
40,"Sarah Silverman/Maroon 5","6.9","207"
40,"Bill Hader/Hozier","8.2","285"
40,"Jim Carrey/Iggy Azalea","7.8","287"
40,"Chris Rock/Prince","6.2","206"
40,"Woody Harrelson/Kendrick Lamar","7.4","187"
40,"Cameron Diaz/Mark Ronson & Bruno Mars","6.2","154"
40,"James Franco/Nicki Minaj","6.4","171"
40,"Martin Freeman/Charli XCX","7.7","199"
40,"Amy Adams/One Direction","7.1","172"
40,"Kevin Hart/Sia","6.8","160"
40,"Blake Shelton","5.8","154"
40,"J.K. Simmons/D'Angelo","7.3","156"
40,"Dakota Johnson/Alabama Shakes","6.0","154"
40,"Chris Hemsworth/Zac Brown Band","7.5","164"
40,"Dwayne Johnson/George Ezra","8.1","191"
40,"Michael Keaton/Carly Rae Jepsen","7.4","171"
40,"Taraji P. Henson/Mumford & Sons","5.8","144"
40,"Scarlett Johansson/Wiz Khalifa","6.6","133"
40,"Reese Witherspoon/Florence + the Machine","6.4","117"
40,"Louis C.K./Rihanna","7.3","148"
41,"Miley Cyrus","6.1","221"
41,"Amy Schumer/The Weeknd","6.8","227"
41,"Tracy Morgan/Demi Lovato","7.7","202"
41,"Donald Trump/Sia","3.7","492"
41,"Elizabeth Banks/Disclosure","7.1","164"
41,"Matthew McConaughey/Adele","7.4","196"
41,"Ryan Gosling/Leon Bridges","7.9","233"
41,"Chris Hemsworth/Chance The Rapper","6.6","146"
41,"Tina Fey & Amy Poehler/Bruce Springsteen and the E Street Band","7.9","253"
41,"Adam Driver/Chris Stapleton","7.5","218"
41,"Ronda Rousey/Selena Gomez","6.0","176"
41,"Larry David/The 1975","8.3","236"
41,"Melissa McCarthy/Kanye West","6.5","173"
41,"Jonah Hill/Future","5.5","155"
41,"Ariana Grande","8.0","239"
41,"Peter Dinklage/Gwen Stefani","7.3","274"
41,"Russell Crowe/Margo Price","5.4","138"
41,"Julia Louis-Dreyfus/Nick Jonas","6.3","145"
41,"Brie Larson/Alicia Keys","6.4","125"
41,"Drake","6.1","145"
41,"Fred Armisen/Courtney Barnett","7.9","163"
42,"Margot Robbie/The Weeknd","7.5","317"
42,"Lin-Manuel Miranda/Twenty One Pilots","7.4","305"
42,"Emily Blunt/Bruno Mars","6.2","236"
42,"Tom Hanks/Lady Gaga","7.8","343"
42,"Benedict Cumberbatch/Solange","6.3","228"
42,"Dave Chappelle/A Tribe Called Quest","7.9","425"
42,"Kristen Wiig/The XX","6.4","221"
42,"Emma Stone/Shawn Mendes","6.9","208"
42,"John Cena/Maren Morris","6.1","190"
42,"Casey Affleck/Chance the Rapper","6.6","206"
42,"Felicity Jones/Sturgill Simpson","5.3","224"
42,"Aziz Ansari/Big Sean","7.1","265"
42,"Kristen Stewart/Alessia Cara","7.9","348"
42,"Alec Baldwin/Ed Sheeran","6.9","215"
42,"Octavia Spencer/Father John Misty","5.6","161"
42,"Scarlett Johansson/Lorde","6.7","177"
42,"Louis C.K./The Chainsmokers","7.4","199"
42,"Jimmy Fallon/Harry Styles","6.4","185"
42,"Chris Pine/LCD Soundsystem","5.9","149"
42,"Melissa McCarthy/Haim","6.7","162"
42,"Dwayne Johnson/Katy Perry","7.4","157"
